,Unnamed: 0,Performance,Video URL,video
171,171,0.3508879776,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-874747697073121,Video/video_171.mp4
172,172,1.298933666,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-874543520932484,Video/video_172.mp4
173,173,1.765581794,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-874190910572544,Video/video_173.mp4
174,174,0.3204411223,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-874084244131796,Video/video_174.mp4
175,175,1.16988108,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-873560550525047,Video/video_175.mp4
176,176,1.574972531,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-873317140849832,Video/video_176.mp4
177,177,0.5852203306,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-873043573965895,Video/video_177.mp4
178,178,0.06080938182,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-872760463806517,Video/video_178.mp4
179,179,0.5093978621,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-872400620956045,Video/video_179.mp4
180,180,0.1616943748,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-872222594086011,Video/video_180.mp4
181,181,0.687434844,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-872188860590219,Video/video_181.mp4
182,182,1.488025251,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-871981848375866,Video/video_182.mp4
183,183,1.31634526,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8715627171842855,Video/video_183.mp4
184,184,1.408069366,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-871286287458461,Video/video_184.mp4
185,185,0.8239037752,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-871185627435460,Video/video_185.mp4
186,186,1.103554713,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-871075730546911,Video/video_186.mp4
187,187,1.079066928,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-871037203883530,Video/video_187.mp4
188,188,0.4991974148,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-819765763526762,Video/video_188.mp4
189,189,1.512014945,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-818776323774715,Video/video_189.mp4
190,190,1.150571695,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-818462803696191,Video/video_190.mp4
191,191,0.1856626354,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-817768845898837,Video/video_191.mp4
192,192,1.71534782,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-817763467176157,Video/video_192.mp4
193,193,0.01187949995,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-817477363934899,Video/video_193.mp4
194,194,1.293575405,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-817475239730695,Video/video_194.mp4
195,195,1.741634304,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-817135236672734,Video/video_195.mp4
